"","accession","domain","family","genome_type","host","isolate","order","size","subfamily","subgenome_type","topology","virus","Host_name","species_level"
"11","NC_023746","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",57387,NA,"Che8virus","linear","Mycobacterium virus Gumbie","Mycobacterium_smegmatis","Yes"
"12","NC_023744","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium tuberculosis mc2 7000",NA,"Caudovirales",60588,NA,NA,"linear","Mycobacterium phage DS6A","Mycobacterium_tuberculosis","Yes"
"13","NC_023742","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68711,NA,"Pipefishvirus","linear","Mycobacterium phage Akoma","Mycobacterium_smegmatis","Yes"
"14","NC_023741","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",69641,NA,"Coopervirus","linear","Mycobacterium phage Stinger","Mycobacterium_smegmatis","Yes"
"15","NC_023740","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68311,NA,"Pg1virus","linear","Mycobacterium phage JacAttac","Mycobacterium_smegmatis","Yes"
"16","NC_023739","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51821,NA,"L5virus","linear","Mycobacterium virus Billknuckles","Mycobacterium_smegmatis","Yes"
"17","NC_023738","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",106327,NA,"Omegavirus","linear","Mycobacterium phage Thibault","Mycobacterium_smegmatis","Yes"
"18","NC_023732","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",69279,NA,"Bronvirus","linear","Mycobacterium virus Rumpelstiltskin","Mycobacterium_smegmatis","Yes"
"19","NC_023731","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53526,NA,"L5virus","linear","Mycobacterium phage Trixie","Mycobacterium_smegmatis","Yes"
"20","NC_023728","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",56461,NA,"Che8virus","linear","Mycobacterium virus Deadp","Mycobacterium_smegmatis","Yes"
"21","NC_023727","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68494,NA,"Pg1virus","linear","Mycobacterium phage Vista","Mycobacterium_smegmatis","Yes"
"22","NC_023726","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53597,NA,"L5virus","linear","Mycobacterium virus Euphoria","Mycobacterium_smegmatis","Yes"
"23","NC_023724","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",62991,NA,"Tm4virus","linear","Mycobacterium virus Larva","Mycobacterium_smegmatis","Yes"
"24","NC_023721","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",54411,NA,"Che8virus","linear","Mycobacterium virus Drago","Mycobacterium_smegmatis","Yes"
"25","NC_023720","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53142,NA,"L5virus","linear","Mycobacterium virus Perseus","Mycobacterium_smegmatis","Yes"
"26","NC_023716","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53177,NA,"L5virus","linear","Mycobacterium virus Alma","Mycobacterium_smegmatis","Yes"
"27","NC_023714","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",153882,NA,"Bxz1virus","linear","Mycobacterium phage LinStu","Mycobacterium_smegmatis","Yes"
"28","NC_023713","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52288,NA,NA,"linear","Mycobacterium phage Blue7","Mycobacterium_smegmatis","Yes"
"29","NC_023712","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",71341,NA,"Corndogvirus","linear","Mycobacterium virus Firecracker","Mycobacterium_smegmatis","Yes"
"30","NC_023711","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",68720,NA,"Pg1virus","linear","Mycobacterium phage Oline","Mycobacterium_smegmatis","Yes"
"31","NC_023710","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",50844,NA,"L5virus","linear","Mycobacterium phage RidgeCB","Mycobacterium_smegmatis","Yes"
"32","NC_023709","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51308,NA,NA,"linear","Mycobacterium phage Wile","Mycobacterium_smegmatis","Yes"
"33","NC_023708","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51083,NA,NA,"linear","Mycobacterium phage Dreamboat","Mycobacterium_smegmatis","Yes"
"34","NC_023707","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53169,NA,"L5virus","linear","Mycobacterium phage Turbido","Mycobacterium_smegmatis","Yes"
"35","NC_023705","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",41650,NA,"Liefievirus","linear","Mycobacterium virus Liefie","Mycobacterium_smegmatis","Yes"
"36","NC_023703","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",64613,NA,NA,"linear","Mycobacterium phage Dori","Mycobacterium_smegmatis","Yes"
"37","NC_023702","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52379,NA,"L5virus","linear","Mycobacterium virus Kugel","Mycobacterium_smegmatis","Yes"
"38","NC_023701","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",69864,NA,"Acadianvirus","linear","Mycobacterium virus Acadian","Mycobacterium_smegmatis","Yes"
"39","NC_023699","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",59016,NA,"Che8virus","linear","Mycobacterium virus SG4","Mycobacterium_smegmatis","Yes"
"40","NC_023698","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",54470,NA,"Che8virus","linear","Mycobacterium virus Avani","Mycobacterium_smegmatis","Yes"
"41","NC_023697","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",48420,NA,"Che9cvirus","linear","Mycobacterium virus Babsiella","Mycobacterium_smegmatis","Yes"
"42","NC_023695","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52481,NA,"L5virus","linear","Mycobacterium phage Violet","Mycobacterium_smegmatis","Yes"
"43","NC_023690","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",110569,NA,"Omegavirus","linear","Mycobacterium virus Courthouse","Mycobacterium_smegmatis","Yes"
"44","NC_023689","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",76260,NA,NA,"linear","Mycobacterium phage Lilac","Mycobacterium_smegmatis","Yes"
"45","NC_023687","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53003,NA,"L5virus","linear","Mycobacterium virus Bruns","Mycobacterium_smegmatis","Yes"
"46","NC_023686","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",67949,NA,"Pipefishvirus","linear","Mycobacterium phage Gadjet","Mycobacterium_smegmatis","Yes"
"47","NC_014461","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",73453,NA,"Bronvirus","linear","Mycobacterium virus Bron","Mycobacterium_smegmatis","Yes"
"48","NC_014458","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",59598,NA,"Tm4virus","linear","Mycobacterium virus Angelica","Mycobacterium_smegmatis","Yes"
"49","NC_013650","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",155445,NA,"Bxz1virus","circular","Mycobacterium phage ET08","Mycobacterium_smegmatis","Yes"
"50","NC_012788","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",41441,NA,NA,"linear","Mycobacterium phage Angel","Mycobacterium_smegmatis","Yes"
"51","NC_011267","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",49487,NA,"L5virus","linear","Mycobacterium phage Solon","Mycobacterium_smegmatis","Yes"
"52","NC_028808","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli MG1655",NA,"Caudovirales",90743,NA,"Suspvirus","linear","Escherichia phage SUSP1","Escherichia_coli","Yes"
"53","NC_028671","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Enterococcus faecalis",NA,"Caudovirales",41098,NA,NA,"linear","Enterococcus phage vB_EfaS_IME197","Enterococcus_faecalis","Yes"
"54","NC_004775","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Salmonella enterica",NA,"Caudovirales",39672,NA,NA,"linear","Salmonella phage epsilon15","Salmonella_enterica","Yes"
"55","NC_028935","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Escherichia coli MG1655",NA,"Caudovirales",88698,NA,"Suspvirus","linear","Escherichia phage SUSP2","Escherichia_coli","Yes"
"56","NC_028777","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Bacillus megaterium Km Sp-",NA,"Caudovirales",80798,NA,"Slashvirus","linear","Bacillus phage Stills","Bacillus_megaterium","Yes"
"57","NC_028899","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Ralstonia solanacearum",NA,"Caudovirales",222888,NA,NA,"linear","Ralstonia phage RSF1","Ralstonia_solanacearum","Yes"
"58","NC_028977","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Klebsiella pneumoniae",NA,"Caudovirales",41054,NA,"Autographivirinae","linear","Klebsiella phage vB_KpnP_KpV289","Klebsiella_pneumoniae","Yes"
"59","NC_031027","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Bacillus thuringiensis subsp. kurstaki",NA,"Caudovirales",162359,NA,NA,"linear","Bacillus phage SageFayge","Bacillus_thuringiensis","Yes"
"60","NC_029043","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53184,NA,NA,"linear","Mycobacterium phage SweetiePie","Mycobacterium_smegmatis","Yes"
"61","NC_029018","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",50854,NA,"unclassified L5likevirus","circular","Mycobacterium phage Anubis","Mycobacterium_smegmatis","Yes"
"62","NC_028960","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51543,NA,NA,"linear","Mycobacterium phage Theia","Mycobacterium_smegmatis","Yes"
"63","NC_028876","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",109801,NA,NA,"linear","Mycobacterium phage Ariel","Mycobacterium_smegmatis","Yes"
"64","NC_021306","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",75736,NA,NA,"linear","Mycobacterium phage Dumbo","Mycobacterium_smegmatis","Yes"
"65","NC_014459","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",59798,NA,"Tm4virus","linear","Mycobacterium virus Crimd","Mycobacterium_smegmatis","Yes"
"66","NC_031224","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Arthrobacter sp. ATCC 21022",NA,"Caudovirales",59443,NA,"Mudcatvirus","linear","Arthrobacter phage Mudcat","Arthrobacter_sp","Yes"
"67","NC_028906","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",75933,NA,"Cjw1virus","linear","Mycobacterium phage Toto","Mycobacterium_smegmatis","Yes"
"68","NC_028803","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",69118,NA,"Pg1virus","linear","Mycobacterium phage OSmaximus","Mycobacterium_smegmatis","Yes"
"69","NC_023737","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",155586,NA,"Bxz1virus","linear","Mycobacterium phage Pleione","Mycobacterium_smegmatis","Yes"
"70","NC_023733","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",154573,NA,"Bxz1virus","linear","Mycobacterium phage MoMoMixon","Mycobacterium_smegmatis","Yes"
"71","NC_023725","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",156646,NA,"Bxz1virus","linear","Mycobacterium phage Nappy","Mycobacterium_smegmatis","Yes"
"72","NC_023696","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",157568,NA,"Bxz1virus","linear","Mycobacterium phage Dandelion","Mycobacterium_smegmatis","Yes"
"73","NC_015584","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",75960,NA,"Bronvirus","linear","Mycobacterium virus Faith1","Mycobacterium_smegmatis","Yes"
"74","NC_014901","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2155",NA,"Caudovirales",59230,NA,"Che8virus","linear","Mycobacterium phage Wee","Mycobacterium_smegmatis","Yes"
"75","NC_031255","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Gordonia terrae 3612",NA,"Caudovirales",46895,NA,NA,"linear","Gordonia phage Schwabeltier","Gordonia_terrae","Yes"
"76","NC_031022","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Shigella sonnei",NA,"Caudovirales",108050,NA,"unclassified T5likevirus","linear","Shigella phage SHSML-45","Shigella_sonnei","Yes"
"77","NC_022329","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53636,NA,NA,"circular","Mycobacterium phage PhrostyMug","Mycobacterium_smegmatis","Yes"
"78","NC_022324","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegamtis mc2 155",NA,"Caudovirales",53701,NA,NA,"linear","Mycobacterium phage SarFire","Mycobacterium_smegmatis","Yes"
"79","NC_022087","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53253,NA,NA,"circular","Mycobacterium phage AnnaL29","Mycobacterium_smegmatis","Yes"
"80","NC_022085","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",76483,NA,NA,"linear","Mycobacterium phage Goku","Mycobacterium_smegmatis","Yes"
"81","NC_022063","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",70115,NA,"unclassified Acadianvirus","linear","Mycobacterium phage Phelemich","Mycobacterium_smegmatis","Yes"
"82","NC_022053","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",70657,NA,"Send513virus","linear","Mycobacterium phage Papyrus","Mycobacterium_smegmatis","Yes"
"83","NC_031034","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Bacillus thuringiensis Berliner 1915, DSM 350",NA,"Caudovirales",161140,NA,NA,"linear","Bacillus phage SalinJah","Bacillus_thuringiensis","Yes"
"84","NC_023691","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",70506,NA,"Patiencevirus","linear","Mycobacterium phage Patience","Mycobacterium_smegmatis","Yes"
"85","NC_031939","Viruses","Myoviridae","dsDNA viruses, no RNA stage","Salmonella enterica subsp. enterica serovar Heidelberg",NA,"Caudovirales",89817,NA,NA,"linear","Salmonella phage BPS15Q2","Salmonella_enterica","Yes"
"86","NC_031279","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52129,NA,NA,"linear","Mycobacterium phage Bactobuster","Mycobacterium_smegmatis","Yes"
"87","NC_031277","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52561,NA,NA,"linear","Mycobacterium phage ArcherNM","Mycobacterium_smegmatis","Yes"
"88","NC_031263","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53935,NA,NA,"linear","Mycobacterium phage EvilGenius","Mycobacterium_smegmatis","Yes"
"89","NC_031256","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53486,NA,NA,"linear","Mycobacterium phage Loser","Mycobacterium_smegmatis","Yes"
"90","NC_031257","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52428,NA,NA,"linear","Mycobacterium phage Mulciber","Mycobacterium_smegmatis","Yes"
"91","NC_031238","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53411,NA,NA,"linear","Mycobacterium phage Catalina","Mycobacterium_smegmatis","Yes"
"92","NC_031060","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Gordonia terrae 3612",NA,"Caudovirales",52726,NA,NA,"linear","Gordonia phage JSwag","Gordonia_terrae","Yes"
"93","NC_031031","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Gordonia terrae 3612",NA,"Caudovirales",52738,NA,NA,"linear","Gordonia phage Remus","Gordonia_terrae","Yes"
"94","NC_030698","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Gordonia terrae 3612",NA,"Caudovirales",52924,NA,"Soupsvirus","linear","Gordonia phage Soups","Gordonia_terrae","Yes"
"95","NC_030695","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Gordonia terrae 3612",NA,"Caudovirales",52689,NA,NA,"linear","Gordonia phage KatherineG","Gordonia_terrae","Yes"
"96","NC_030694","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Gordonia terrae 3612",NA,"Caudovirales",52684,NA,NA,"linear","Gordonia phage Rosalind","Gordonia_terrae","Yes"
"97","NC_029077","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52155,NA,NA,"linear","Mycobacterium phage VohminGhazi","Mycobacterium_smegmatis","Yes"
"98","NC_028965","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53219,NA,NA,"linear","Mycobacterium phage Pioneer","Mycobacterium_smegmatis","Yes"
"99","NC_028932","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52088,NA,NA,"linear","Mycobacterium phage Serenity","Mycobacterium_smegmatis","Yes"
"100","NC_028914","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52927,NA,NA,"linear","Mycobacterium phage Sheen","Mycobacterium_smegmatis","Yes"
"101","NC_028912","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",49717,NA,NA,"linear","Mycobacterium phage Swirley","Mycobacterium_smegmatis","Yes"
"102","NC_028897","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",49421,NA,NA,"linear","Mycobacterium phage Chadwick","Mycobacterium_smegmatis","Yes"
"103","NC_028877","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52967,NA,NA,"linear","Mycobacterium phage Larenn","Mycobacterium_smegmatis","Yes"
"104","NC_028860","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52392,NA,"unclassified L5likevirus","linear","Mycobacterium phage Smeadley","Mycobacterium_smegmatis","Yes"
"105","NC_028852","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53042,NA,NA,"linear","Mycobacterium phage Equemioh13","Mycobacterium_smegmatis","Yes"
"106","NC_028849","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53387,NA,NA,"linear","Mycobacterium phage Luchador","Mycobacterium_smegmatis","Yes"
"107","NC_028798","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",50882,NA,"unclassified L5likevirus","linear","Mycobacterium phage MarQuardt","Mycobacterium_smegmatis","Yes"
"108","NC_028794","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",52647,NA,NA,"linear","Mycobacterium phage Piro94","Mycobacterium_smegmatis","Yes"
"109","NC_028757","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterum smegmatis mc2 155",NA,"Caudovirales",50768,NA,"unclassified L5likevirus","linear","Mycobacterium phage Tiffany","Mycobacterium_smegmatis","Yes"
"110","NC_028744","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53141,NA,NA,"linear","Mycobacterium phage LadyBird","Mycobacterium_smegmatis","Yes"
"111","NC_028687","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51637,NA,NA,"linear","Mycobacterium phage Iracema64","Mycobacterium_smegmatis","Yes"
"112","NC_028662","Viruses","Podoviridae","dsDNA viruses, no RNA stage","Mycobacterium phlei",NA,"Caudovirales",50418,NA,NA,"linear","Mycobacterium phage Phlei","Mycobacterium_phlei","Yes"
"113","NC_026591","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",44716,NA,NA,"linear","Mycobacterium phage Trike","Mycobacterium_smegmatis","Yes"
"114","NC_025444","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegamatis mc2 155",NA,"Caudovirales",53332,NA,"L5virus","linear","Mycobacterium phage RedRock","Mycobacterium_smegmatis","Yes"
"115","NC_024148","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",50101,NA,NA,"linear","Mycobacterium phage Phantastic","Mycobacterium_smegmatis","Yes"
"116","NC_024141","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51378,NA,NA,"linear","Mycobacterium phage Kampy","Mycobacterium_smegmatis","Yes"
"117","NC_023609","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",46739,NA,NA,"linear","Mycobacterium phage RhynO","Mycobacterium_smegmatis","Yes"
"118","NC_023553","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",53159,NA,NA,"linear","Mycobacterium phage Echild","Mycobacterium_smegmatis","Yes"
"119","NC_023606","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2155",NA,"Caudovirales",52963,NA,NA,"linear","Mycobacterium phage CRB1","Mycobacterium_smegmatis","Yes"
"120","NC_023597","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2155",NA,"Caudovirales",53124,NA,NA,"linear","Mycobacterium phage 20ES","Mycobacterium_smegmatis","Yes"
"121","NC_023577","Viruses","Siphoviridae","dsDNA viruses, no RNA stage","Mycobacterium smegmatis mc2 155",NA,"Caudovirales",51797,NA,"L5virus","linear","Mycobacterium phage Obama12","Mycobacterium_smegmatis","Yes"
